Nonhuman_gene_name,Human_gene_name,Organism
A4gnt,A4GNT,Mouse
A1cf,A1CF,Mouse
A4galt,A4GALT,Mouse
A1bg,A1BG,Mouse
A3galt2,A3GALT2,Mouse
A2m,A2M,Mouse
Acbd3,ACBD3,Mouse
Aaas,AAAS,Mouse
Acta1,ACTA1,Mouse
Actr6,ACTR6,Mouse
Aamdc,AAMDC,Mouse
Aadacl2,AADACL2,Mouse
Aadac,AADAC,Mouse
Actn2,ACTN2,Mouse
Abcb9,ABCB9,Mouse
Acsl3,ACSL3,Mouse
Acad9,ACAD9,Mouse
Aadat,AADAT,Mouse
Aak1,AAK1,Mouse
Abhd16b,ABHD16B,Mouse
Aasdhppt,AASDHPPT,Mouse
Acbd6,ACBD6,Mouse
Aarsd1,AARSD1,Mouse
Gm27029,AARSD1,Mouse
Acsbg2,ACSBG2,Mouse
Actl9,ACTL9,Mouse
Acbd5,ACBD5,Mouse
Abhd13,ABHD13,Mouse
Acat1,ACAT1,Mouse
Acaa2,ACAA2,Mouse
Abcg8,ABCG8,Mouse
Acsl6,ACSL6,Mouse
Acss2,ACSS2,Mouse
Abcg5,ABCG5,Mouse
Acr,ACR,Mouse
Aatf,AATF,Mouse
Accsl,ACCSL,Mouse
Acvr2b,ACVR2B,Mouse
Abca7,ABCA7,Mouse
Accs,ACCS,Mouse
Acot8,ACOT8,Mouse
Actn1,ACTN1,Mouse
Acin1,ACIN1,Mouse
Acpp,ACPP,Mouse
Ablim1,ABLIM1,Mouse
Acox1,ACOX1,Mouse
Acaca,ACACA,Mouse
Acer1,ACER1,Mouse
Ace,ACE,Mouse
Ackr4,ACKR4,Mouse
Abr,ABR,Mouse
Gm49366,ACOT1,Mouse
Acot5,ACOT1,Mouse
Acot2,ACOT1,Mouse
Acot3,ACOT1,Mouse
Acot1,ACOT1,Mouse
Acad11,ACAD11,Mouse
Gm49366,ACOT2,Mouse
Acot5,ACOT2,Mouse
Acot2,ACOT2,Mouse
Acot3,ACOT2,Mouse
Acot1,ACOT2,Mouse
Acer2,ACER2,Mouse
Abcc4,ABCC4,Mouse
Abcc8,ABCC8,Mouse
Acadvl,ACADVL,Mouse
Acap1,ACAP1,Mouse
Actr10,ACTR10,Mouse
Actc1,ACTC1,Mouse
Acot4,ACOT4,Mouse
Acot6,ACOT6,Mouse
Actl10,ACTL10,Mouse
Abcg3,ABCG2,Mouse
Abhd17a,ABHD17A,Mouse
Acan,ACAN,Mouse
Aasdh,AASDH,Mouse
Abhd11,ABHD11,Mouse
Actr1b,ACTR1B,Mouse
Abtb2,ABTB2,Mouse
Abhd16a,ABHD16A,Mouse
Abcc10,ABCC10,Mouse
Acadsb,ACADSB,Mouse
Acsf2,ACSF2,Mouse
Acot11,ACOT11,Mouse
Actr2,ACTR2,Mouse
Abhd6,ABHD6,Mouse
Actb,ACTB,Mouse
Actr3,ACTR3,Mouse
Actrt2,ACTRT2,Mouse
Actbl2,ACTBL2,Mouse
Ablim2,ABLIM2,Mouse
Acsm5,ACSM5,Mouse
Abca6,ABCA6,Mouse
Acap3,ACAP3,Mouse
Aagab,AAGAB,Mouse
Acsl1,ACSL1,Mouse
Aanat,AANAT,Mouse
Abca5,ABCA5,Mouse
Acmsd,ACMSD,Mouse
Actl6b,ACTL6B,Mouse
Ace2,ACE2,Mouse
Acadl,ACADL,Mouse
Abcd1,ABCD1,Mouse
Acsl5,ACSL5,Mouse
Abcc3,ABCC3,Mouse
Abca2,ABCA2,Mouse
Abhd17b,ABHD17B,Mouse
Abcc9,ABCC9,Mouse
Actrt1,ACTRT1,Mouse
Aco2,ACO2,Mouse
Acat2,ACAT2,Mouse
Acat3,ACAT2,Mouse
Abca4,ABCA4,Mouse
Acot12,ACOT12,Mouse
Abcc12,ABCC12,Mouse
Acvrl1,ACVRL1,Mouse
Actn4,ACTN4,Mouse
Acad8,ACAD8,Mouse
Acvr2a,ACVR2A,Mouse
Abcd3,ABCD3,Mouse
Acvr1b,ACVR1B,Mouse
Acad12,ACAD10,Mouse
Acad10,ACAD10,Mouse
Acsm1,ACSM1,Mouse
Acsm3,ACSM3,Mouse
Abcg1,ABCG1,Mouse
Abra,ABRA,Mouse
Acd,ACD,Mouse
Abcc2,ABCC2,Mouse
Abca12,ABCA12,Mouse
Actl6a,ACTL6A,Mouse
Acoxl,ACOXL,Mouse
Acot7,ACOT7,Mouse
Acap2,ACAP2,Mouse
Abca1,ABCA1,Mouse
Acp2,ACP2,Mouse
Ache,ACHE,Mouse
Acsm4,ACSM4,Mouse
Abi1,ABI1,Mouse
Aatk,AATK,Mouse
Abca9,ABCA9,Mouse
Acox3,ACOX3,Mouse
Acsf3,ACSF3,Mouse
Acvr1c,ACVR1C,Mouse
Actg2,ACTG2,Mouse
Acvr1,ACVR1,Mouse
Abhd10,ABHD10,Mouse
Acss1,ACSS1,Mouse
Abi3bp,ABI3BP,Mouse
Aard,AARD,Mouse
Abhd17c,ABHD17C,Mouse
Acbd4,ACBD4,Mouse
